 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  24.12.2021    Time:  14: 7:36
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   56      1.10     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   57      1.12     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   58      1.14     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   59      1.16     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   60      1.18     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   61      1.20     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   62      1.22     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   63      1.24     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   64      1.26     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   65      1.28     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   66      1.30     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   67      1.32     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   68      1.34     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   69      1.36     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   70      1.38     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   71      1.40     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   72      1.42     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   73      1.44     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   74      1.46     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   75      1.48     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   76      1.50     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   77      1.52     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   78      1.54     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   79      1.56     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   80      1.58     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   81      1.60     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   82      1.62     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   83      1.64     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   84      1.66     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   85      1.68     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   86      1.70     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   87      1.72     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   88      1.74     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   89      1.76     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   90      1.78     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   91      1.80     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   92      1.82     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   93      1.84     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   94      1.86     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   95      1.88     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   96      1.90     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   97      1.92     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   98      1.94     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   99      1.96     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  100      1.98     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  101      2.00     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  102      2.02     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  103      2.04     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  104      2.06     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  105      2.08     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  106      2.10     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  107      2.12     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  108      2.14     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  109      2.16     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  110      2.18     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  111      2.20     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  112      2.22     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  113      2.24     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  114      2.26     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  115      2.28     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  116      2.30     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  117      2.32     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  118      2.34     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  119      2.36     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  120      2.38     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  121      2.40     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  122      2.42     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  123      2.44     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  124      2.46     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  125      2.48     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  126      2.50     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  127      2.52     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  128      2.54     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  129      2.56     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  130      2.58     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  131      2.60     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  132      2.62     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  133      2.64     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  134      2.66     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  135      2.68     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  136      2.70     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  137      2.72     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  138      2.74     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  139      2.76     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  140      2.78     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  141      2.80     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  142      2.82     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  143      2.84     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  144      2.86     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  145      2.88     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  146      2.90     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  147      2.92     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  148      2.94     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  149      2.96     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  150      2.98     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  151      3.00     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  152      3.02     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  153      3.04     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  154      3.06     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  155      3.08     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  156      3.10     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  157      3.12     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  158      3.14     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  159      3.16     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  160      3.18     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  161      3.20     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  162      3.22     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  163      3.24     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  164      3.26     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  165      3.28     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  166      3.30     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  167      3.32     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  168      3.34     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  169      3.36     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  170      3.38     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  171      3.40     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  172      3.42     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  173      3.44     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  174      3.46     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  175      3.48     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  176      3.50     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  177      3.52     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  178      3.54     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  179      3.56     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  180      3.58     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  181      3.60     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  182      3.62     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  183      3.64     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  184      3.66     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  185      3.68     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  186      3.70     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  187      3.72     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  188      3.74     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  189      3.76     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  190      3.78     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  191      3.80     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  192      3.82     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  193      3.84     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  194      3.86     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  195      3.88     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  196      3.90     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  197      3.92     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  198      3.94     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  199      3.96     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  200      3.98     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  201      4.00     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  202      4.02     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  203      4.04     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  204      4.06     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  205      4.08     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  206      4.10     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  207      4.12     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  208      4.14     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  209      4.16     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  210      4.18     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  211      4.20     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  212      4.22     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  213      4.24     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  214      4.26     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  215      4.28     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  216      4.30     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  217      4.32     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  218      4.34     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  219      4.36     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  220      4.38     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  221      4.40     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  222      4.42     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  223      4.44     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  224      4.46     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  225      4.48     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  226      4.50     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  227      4.52     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  228      4.54     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  229      4.56     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  230      4.58     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  231      4.60     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  232      4.62     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  233      4.64     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  234      4.66     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  235      4.68     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  236      4.70     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  237      4.72     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  238      4.74     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  239      4.76     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  240      4.78     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  241      4.80     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  242      4.82     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  243      4.84     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  244      4.86     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  245      4.88     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  246      4.90     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  247      4.92     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  248      4.94     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  249      4.96     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  250      4.98     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  251      5.00     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  252      5.02     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  253      5.04     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  254      5.06     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  255      5.08     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  256      5.10     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  257      5.12     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  258      5.14     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  259      5.16     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  260      5.18     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  261      5.20     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  262      5.22     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  263      5.24     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  264      5.26     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  265      5.28     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  266      5.30     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  267      5.32     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  268      5.34     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  269      5.36     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  270      5.38     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  271      5.40     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  272      5.42     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  273      5.44     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  274      5.46     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  275      5.48     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  276      5.50     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  277      5.52     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  278      5.54     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  279      5.56     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  280      5.58     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  281      5.60     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  282      5.62     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  283      5.64     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  284      5.66     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  285      5.68     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  286      5.70     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  287      5.72     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  288      5.74     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  289      5.76     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  290      5.78     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  291      5.80     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  292      5.82     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  293      5.84     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  294      5.86     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  295      5.88     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  296      5.90     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  297      5.92     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
  298      5.94     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
