3.999996600001700098e-01,-9.999999999999999547e-07,9.999990000005000823e+00
3.999995904690429871e-01,-1.204503540258781055e-06,9.999987954971851778e+00
3.999995067185731501e-01,-1.450828778495940268e-06,9.999985491722739539e+00
3.999994058408631870e-01,-1.747528400007682905e-06,9.999982524731269251e+00
3.999992843333440851e-01,-2.104904144512021840e-06,9.999978950980707992e+00
3.999991379771648536e-01,-2.535364493970111234e-06,9.999974646387201460e+00
3.999989616907124179e-01,-3.053855508833412301e-06,9.999969461491541978e+00
3.999987493531777516e-01,-3.678379771828634336e-06,9.999963216269932786e+00
3.999984935920416484e-01,-4.430621457583877383e-06,9.999955693883576302e+00
3.999981855271030895e-01,-5.336699231206313025e-06,9.999946633150090136e+00
3.999978144621645360e-01,-6.428073117284319438e-06,9.999935719475427476e+00
3.999973675136700990e-01,-7.742636826811276894e-06,9.999922573931472769e+00
3.999968291634063422e-01,-9.326033468832199718e-06,9.999906740100184876e+00
3.999961807197393582e-01,-1.123324032978026594e-05,9.999887668227628978e+00
3.999953996686888558e-01,-1.353047774579807565e-05,9.999864696137906961e+00
3.999944588923155520e-01,-1.629750834620643444e-05,9.999837026244573934e+00
3.999933257272994536e-01,-1.963040650040272561e-05,9.999803697861747054e+00
3.999919608310400498e-01,-2.364489412645407197e-05,9.999763553854117859e+00
3.999903168159382738e-01,-2.848035868435804817e-05,9.999715200468772380e+00
3.999883366044822974e-01,-3.430469286314919428e-05,9.999656958955361219e+00
3.999859514480855749e-01,-4.132012400115334376e-05,9.999586807296633850e+00
3.999830785409772549e-01,-4.977023564332113960e-05,9.999502310028741903e+00
3.999796181464252975e-01,-5.994842503189408905e-05,9.999400533718389994e+00
3.999754501356975744e-01,-7.220809018385471168e-05,9.999277945167575510e+00
3.999704298198614172e-01,-8.697490026177834418e-05,9.999130288819452872e+00
3.999643829300879028e-01,-1.047615752789665081e-04,9.998952439120232683e+00
3.999570995727426692e-01,-1.261856883066021025e-04,9.998738222727725500e+00
3.999483269502011606e-01,-1.519911082952934706e-04,9.998480204417679928e+00
3.999377605958467918e-01,-1.830738280295369591e-04,9.998169429289610832e+00
3.999250338206584154e-01,-2.205130739903045595e-04,9.997795112372307003e+00
3.999097050074820192e-01,-2.656087782946686443e-04,9.997344264925940749e+00
3.998912423154868390e-01,-3.199267137797384393e-04,9.996801244573141787e+00
3.998690052690319630e-01,-3.853528593710531529e-04,9.996147213795056885e+00
3.998422225993809032e-01,-4.641588833612782196e-04,9.995359488217085087e+00
3.998099655810627984e-01,-5.590810182512228081e-04,9.994410752384197849e+00
3.997711159532688630e-01,-6.734150657750828791e-04,9.993268116272613355e+00
3.997243273359445404e-01,-8.111308307896872294e-04,9.991891980468956547e+00
3.996679788349212781e-01,-9.770099572992256044e-04,9.990234671615331408e+00
3.996001192745298747e-01,-1.176811952434999187e-03,9.988238802192054067e+00
3.995184001928838158e-01,-1.417474162926806325e-03,9.985835299790700503e+00
3.994199953769696498e-01,-1.707352647470692167e-03,9.982941040499106577e+00
3.993015042938456438e-01,-2.056512308348653392e-03,9.979456008642518583e+00
3.991588362824494696e-01,-2.477076355991711300e-03,9.975259890660279183e+00
3.989870717999545180e-01,-2.983647240283340395e-03,9.970207994116309536e+00
3.987802963608647611e-01,-3.593813663804629275e-03,9.964126363554845156e+00
3.985314020626124498e-01,-4.328761281083061754e-03,9.956805943018013139e+00
3.982318507601984581e-01,-5.214008287999690079e-03,9.947995610594071891e+00
3.978713920453225139e-01,-6.280291441834259629e-03,9.937393883685954776e+00
3.974377282280072698e-01,-7.564633275546290940e-03,9.924639065529625270e+00
3.969161175590780744e-01,-9.111627561154895735e-03,9.909297575267000724e+00
3.962889060525933704e-01,-1.097498765493056840e-02,9.890850178017451810e+00
3.955349776021541697e-01,-1.321941148466031397e-02,9.868675811828063971e+00
3.946291118424778421e-01,-1.592282793341093933e-02,9.842032701249348037e+00
3.935412397037922894e-01,-1.917910261672488639e-02,9.810036461876242342e+00
3.922355883096430018e-01,-2.310129700083162624e-02,9.771634950283617727e+00
3.906697104578762403e-01,-2.782559402207126012e-02,9.725579719349301655e+00
