,ID,random_seed,number_layers,number_units,LAA,number_res,number_ub,weight_values_ic,weight_values_ub,weight_values_lb,ALR,iterations,batch_size,RAR,new_residual_points,time_Adam,time_BFGS,theta_L2_relative_error,theta_abs_relative_error,theta_max_error,psi_L2_relative_error,psi_abs_relative_error,psi_max_error,loss_ub,loss_lb,loss_ic,loss_res
33,34,3,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,1971.0601910660007,2.483365928997955,0.0034971019993521994,0.0024047942925133703,0.01602204454811393,0.015691083060760978,0.013123774312051029,0.14585214440045302,3.671607e-07,1.0766394e-09,1.8108345e-09,1.8334853999999999e-06
34,35,4,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,1996.393736246002,2.2937817389974953,0.0017092037854537104,0.0012042569382123755,0.007305365672985925,0.007749014508373164,0.006751041887393551,0.07281773934798474,4.0907356000000005e-08,4.306615e-10,5.3888816e-10,7.148570399999999e-07
35,36,5,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,1987.515865270001,2.2121664699989196,0.004042246290403263,0.002600341743244115,0.01816490603359519,0.018527443017275363,0.014600328452801263,0.16253024687332873,6.852903999999999e-08,1.5974911e-09,1.1518133e-09,1.0021362e-06
36,37,6,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,1957.0577790319985,2.328983202998643,0.001945647890488769,0.0016027385257149861,0.0037689385868596714,0.005602147539306706,0.006889480440465106,0.03944736305890029,4.700777400000001e-08,4.0675087999999996e-10,3.1542138e-10,8.9699773e-07
37,38,7,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,1986.4712166080026,2.8990751240016834,0.0022949049612300113,0.0013053033253278585,0.009689289138464896,0.011572509318258805,0.008097984997737315,0.10252980869756634,6.40134e-08,2.7640706e-10,8.025146999999999e-11,4.0302677e-07
38,39,8,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,2007.6096931739994,2.7556085739997798,0.002330316807619699,0.0013511869267786027,0.00868971357443149,0.012118997388710842,0.008444000974710517,0.10469664202964601,6.512788e-08,2.7675512e-10,1.2891856e-10,6.460431e-07
39,40,9,5,50,True,10000,1000,100,1,30,False,100000,128,False,10,2020.714237529999,2.390276325000741,0.002462949060931973,0.0012960048453712744,0.010762888000159232,0.012108207665511897,0.008257174638296361,0.1101899701755995,1.7755961999999998e-08,4.341237e-10,3.421831e-10,6.178133e-07
40,41,0,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,2036.9814755129992,2.3389900969996233,0.002509602482381021,0.0014871741147160157,0.012669402488787757,0.011586403454761468,0.008688843769181526,0.11416226973099475,2.1407419000000002e-07,1.807671e-10,2.5251583e-09,1.5530535e-06
41,42,1,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,2053.143746007001,2.400160720993881,0.0013360985939625746,0.0010343085305676639,0.0040128699688660174,0.004676867041192726,0.004902737602802921,0.03530532469315295,4.8521169999999996e-08,4.419407e-10,3.6265185e-10,1.0340394e-06
42,43,2,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,2079.3266473770054,2.2886996230008663,0.0037349513661681685,0.0027371431701603203,0.012967827723174064,0.015363589130533609,0.014121806152208769,0.12875538651165908,8.211757999999999e-08,1.7832798000000002e-10,7.932646e-10,2.0842808e-06
43,44,3,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,2108.6510396079975,2.3162785999957123,0.002810113254059672,0.0017774634615472793,0.01124078346165,0.013899796962907978,0.01059533651115102,0.10930471104131634,2.9509067000000005e-08,2.8917726e-11,1.0793508400000001e-10,5.526806e-07
44,45,4,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,1854.6600768220003,2.15662327300015,0.0028083583893312503,0.0019449711644071049,0.011580022976546256,0.011723043193438334,0.010217267128133723,0.11521941010174697,8.278496499999999e-08,1.6700737e-10,2.7048095e-09,1.8557705000000002e-06
45,46,5,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,1865.066359422,2.212690438000209,0.001993684276963321,0.0016219151086819378,0.004164225878043826,0.005229613553942686,0.006740034553641735,0.031179039139025422,3.640202e-08,6.5459543e-10,2.8051361e-09,1.7980758e-06
46,47,6,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,1892.6051322549997,2.2736516659997505,0.003253622321448692,0.0025097971978449147,0.012385683432077077,0.012909001736339496,0.012581316313791476,0.10395318617386584,2.6150448e-07,1.2621029e-10,2.2257054e-09,1.8492175e-06
47,48,7,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,1897.182870832,2.8429681850002453,0.004427540297217824,0.002825244039207775,0.020726087817271338,0.020314319939762956,0.01639518940077742,0.18225270857376819,1.2825085e-07,2.7493387999999997e-10,3.1035436e-09,2.2547299999999998e-06
48,49,8,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,1932.503694862,2.9136284529995464,0.001172819422810941,0.0007231953875666324,0.005115437314658133,0.0056559475721146835,0.004267092144409892,0.04962521378216689,2.3683656000000002e-08,2.7430124e-11,1.6235198999999999e-10,4.5145882e-07
49,50,9,5,50,True,10000,1000,100,1,100,False,100000,128,False,10,1943.1270727330011,2.316991458999837,0.004072703160140976,0.002332960581207449,0.018616262206156836,0.019595599875002107,0.014433780851708319,0.17179280106244033,1.0724921400000002e-07,1.5142331999999998e-10,2.9166190000000003e-09,1.1752437e-06
50,1,0,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2441.242885359,2.9584445909999886,0.006319126190590056,0.0035074192779703767,0.02914631677540122,0.029031051462756703,0.020960050017501765,0.2542486745518202,2.5001363e-09,3.8626663e-08,3.3958985e-09,2.1438866e-06
