,ID,random_seed,number_layers,number_units,LAA,number_res,number_ub,weight_values_ic,weight_values_ub,weight_values_lb,ALR,iterations,batch_size,RAR,new_residual_points,time_Adam,time_BFGS,theta_L2_relative_error,theta_abs_relative_error,theta_max_error,psi_L2_relative_error,psi_abs_relative_error,psi_max_error,loss_ub,loss_lb,loss_ic,loss_res,number_weight_parameters
10,11,0,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,841.1706968029994,5.998040819999005,0.04277816973878706,0.024238957125343498,0.06944089644512588,0.22294698575039373,0.15844533433159463,1.1683450328740135,7.9809415e-06,2.0606647e-05,7.5676144e-05,0.0013315039000000002,30
11,12,1,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,845.8597077300001,10.075573033000182,0.03171978478960111,0.01732093668487478,0.05092529181033545,0.24448897972595388,0.14298296645046965,1.3110754737750356,1.5394968e-05,2.7155669999999996e-06,6.40884e-05,0.0010405689,30
12,13,2,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,840.4944670160003,10.398081187000571,0.04649666308956437,0.02986258530368733,0.050248511943944696,0.14186061455046592,0.14710831373104313,0.7939780774006073,1.0083116e-05,4.3006917e-06,2.8022041e-05,0.0008432211,30
13,14,3,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,848.6070235570005,6.9015904370007775,0.055062359899379805,0.04832323210477975,0.05107652369529181,0.3364548972484744,0.26612647174979726,2.0393561003502003,2.5630563e-05,6.850175400000001e-06,5.733049e-05,0.0008799311,30
14,15,4,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,850.4802861419994,13.948595877000116,0.041790745173522055,0.031526842113185856,0.04217263284713202,0.11371183101415114,0.138168806689568,0.8064156594165985,6.302877e-06,1.4993737000000001e-05,2.991945e-05,0.0007664844,30
15,16,5,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,880.8603259079991,8.6776178659984,0.031000845981797545,0.026883477155093847,0.053945861492456726,0.11496543313801112,0.1309572682944864,0.9501102986225312,2.2964574e-05,8.585674e-06,6.210624e-05,0.00091044005,30
16,17,6,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,885.6566590380007,6.652843862000736,0.07329083803436706,0.06265372043250221,0.06794951001306188,0.24267982179995742,0.29694206754491553,0.9849010529407685,2.7669741e-05,2.943771e-05,9.630113000000001e-05,0.0011710353,30
17,18,7,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,885.2575346189988,8.119702617001167,0.028991809421120413,0.020280755953701126,0.049120135340990356,0.14284935450664946,0.11240952026173545,0.9031909381000931,1.9327184e-05,1.0400713e-05,4.8752605000000005e-05,0.0007064937400000001,30
18,19,8,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,873.5607638000001,9.347545546002948,0.05743097929509706,0.03581695176551136,0.06792561113912846,0.16500407248539656,0.17034450267053325,0.7523201527485077,1.1287735e-05,1.1371237000000002e-05,2.4064915e-05,0.001122479,30
19,20,9,1,10,False,10000,1000,10,10,10,False,100000,128,False,10,885.316404412999,10.840231402999052,0.04358442727271388,0.0336270662805558,0.052143893871607117,0.20089512473831872,0.17247235595785332,1.2870624229516345,3.1910415e-05,6.604519e-06,6.258849e-05,0.0009888788,30
20,21,0,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1018.5907010829978,28.032144335997145,0.016430267104896083,0.01030972221769021,0.03795138720065527,0.12255724627290929,0.07720462174215394,0.855571765067658,8.324814e-06,1.6645737e-06,2.410915e-05,0.00043580809999999997,60
21,22,1,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1047.6498757640002,0.8018185139990237,0.043479545158262585,0.03654433336951467,0.05006461564094,0.13214231322918102,0.16500354145842,0.9049819531330292,4.6917779999999995e-06,9.469485e-06,4.8249049999999995e-05,0.00058216584,60
22,23,2,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1051.8763095270006,53.26753504899898,0.011421901067659106,0.007307524059840114,0.02411618131227905,0.10640706132418276,0.062226369130296,0.5337043528526131,1.7607592e-06,1.7551092e-06,6.9524059999999994e-06,0.00023640408,60
